State Code,Claim Amount,Coverage,Education,EmploymentStatus,Location Code,Monthly Premium Auto,Number of Policies,Policy,Claim Reason,Vehicle Class
MO,531.3294035,Extended,High School or Below,Unemployed,Suburban,77,9,Personal,Collision,Four-Door Car
IA,2094.619251,Basic,Bachelor,Employed,Suburban,74,2,Personal,Collision,Four-Door Car
NE,837.5353928999998,Basic,Master,Medical Leave,Rural,109,9,Personal,Collision,SUV
MO,480.1661503,Basic,Bachelor,Medical Leave,Suburban,62,8,Personal,Collision,Four-Door Car
NE,574.594334,Basic,Bachelor,Employed,Urban,74,9,Personal,Scratch/Dent,Four-Door Car
IA,606.6115969,Extended,College,Employed,Suburban,76,7,Personal,Collision,Two-Door Car
MO,800.2308333,Basic,College,Unemployed,Suburban,107,3,Personal,Collision,SUV
MO,239.3915369,Basic,College,Unemployed,Suburban,70,1,Personal,Collision,Four-Door Car
IA,476.28179000000006,Basic,Bachelor,Employed,Rural,62,3,Corporate,Scratch/Dent,Two-Door Car
MO,433.038602,Premium,College,Employed,Suburban,107,1,Personal,Hail,Four-Door Car
MO,940.2729769,Extended,High School or Below,Unemployed,Suburban,130,4,Personal,Collision,SUV
IA,696.6694527000002,Extended,Bachelor,Employed,Rural,88,9,Personal,Collision,Four-Door Car
MO,769.4064293,Basic,Bachelor,Employed,Rural,65,2,Personal,Scratch/Dent,Four-Door Car
IA,871.7561149000002,Basic,High School or Below,Unemployed,Suburban,117,3,Personal,Collision,SUV
MO,592.8748528,Basic,Bachelor,Employed,Rural,74,9,Personal,Collision,Two-Door Car
IA,245.2977288,Basic,College,Employed,Urban,62,1,Corporate,Other,Four-Door Car
MO,670.1571657000002,Extended,College,Employed,Suburban,85,7,Personal,Other,Four-Door Car
KS,755.6240339999998,Extended,High School or Below,Employed,Suburban,98,8,Corporate,Hail,Four-Door Car
NE,849.2698800000002,Basic,College,Employed,Suburban,109,7,Personal,Hail,SUV
IA,771.3494046,Basic,Bachelor,Employed,Suburban,66,2,Personal,Collision,Four-Door Car
KS,2408.45352,Basic,High School or Below,Employed,Suburban,67,2,Personal,Other,Four-Door Car
MO,729.0069768999998,Basic,High School or Below,Unemployed,Suburban,102,3,Corporate,Collision,SUV
IA,477.2943848000001,Extended,High School or Below,Retired,Suburban,133,1,Personal,Hail,SUV
NE,680.6491394999998,Extended,High School or Below,Employed,Suburban,86,9,Personal,Hail,Two-Door Car
MO,246.9781334,Basic,Bachelor,Employed,Suburban,62,1,Personal,Scratch/Dent,Two-Door Car
MO,310.3923041000001,Extended,College,Employed,Urban,78,1,Corporate,Hail,Four-Door Car
KS,298.1875575,Extended,College,Unemployed,Suburban,83,1,Personal,Scratch/Dent,Two-Door Car
MO,890.2737595000001,Basic,Bachelor,Employed,Rural,112,9,Personal,Collision,Sports Car
IA,549.9447223,Basic,High School or Below,Employed,Suburban,68,7,Personal,Scratch/Dent,Two-Door Car
MO,1502.359858,Basic,High School or Below,Employed,Suburban,192,3,Personal,Scratch/Dent,SUV
OK,250.9107875,Basic,Bachelor,Employed,Rural,63,1,Personal,Collision,Four-Door Car
IA,3122.17481,Premium,College,Employed,Suburban,113,2,Personal,Collision,Four-Door Car
IA,313.3503432,Extended,Master,Employed,Rural,78,1,Personal,Hail,Four-Door Car
NE,383.7451863,Extended,College,Employed,Urban,97,1,Special,Collision,Four-Door Car
IA,1179.049617,Basic,College,Retired,Suburban,66,2,Personal,Hail,Four-Door Car
KS,783.8068321000002,Basic,Master,Unemployed,Rural,69,2,Personal,Hail,Four-Door Car
NE,430.5808345,Basic,High School or Below,Employed,Suburban,109,1,Personal,Collision,Sports Car
OK,597.3976904,Basic,Bachelor,Employed,Rural,74,8,Special,Collision,Four-Door Car
IA,567.0442396000002,Basic,Bachelor,Employed,Urban,72,4,Personal,Collision,Four-Door Car
NE,473.1749346,Premium,College,Employed,Suburban,118,1,Personal,Collision,Four-Door Car
NE,802.6379641,Basic,High School or Below,Unemployed,Suburban,74,2,Corporate,Collision,Four-Door Car
NE,402.2963529,Basic,High School or Below,Unemployed,Suburban,117,1,Personal,Collision,SUV
IA,961.8310865,Basic,High School or Below,Employed,Rural,119,3,Special,Collision,Sports Car
KS,227.4775451,Basic,College,Unemployed,Suburban,63,1,Personal,Hail,Four-Door Car
IA,955.2926922,Extended,College,Employed,Urban,79,2,Personal,Other,Four-Door Car
NE,1038.855323,Extended,Bachelor,Employed,Urban,89,2,Special,Scratch/Dent,Four-Door Car
IA,247.0121222,Basic,College,Unemployed,Suburban,74,1,Personal,Other,Two-Door Car
NE,561.9068507999998,Premium,Master,Employed,Urban,140,1,Personal,Collision,SUV
MO,904.7119209,Extended,High School or Below,Unemployed,Suburban,127,6,Personal,Scratch/Dent,Sports Car
KS,669.2143668,Premium,High School or Below,Employed,Suburban,168,1,Corporate,Scratch/Dent,SUV
IA,373.1504584,Extended,High School or Below,Unemployed,Suburban,96,1,Personal,Collision,Four-Door Car
OK,366.0770258,Extended,Bachelor,Employed,Urban,92,1,Corporate,Other,Four-Door Car
MO,792.8829252,Basic,College,Unemployed,Suburban,72,2,Corporate,Collision,Four-Door Car
NE,501.1751577,Basic,Bachelor,Employed,Suburban,67,4,Corporate,Collision,Two-Door Car
NE,798.8258292,Extended,High School or Below,Employed,Rural,99,3,Personal,Hail,Four-Door Car
IA,388.5456401,Premium,College,Unemployed,Suburban,105,1,Corporate,Collision,Four-Door Car
KS,265.9337982,Basic,Bachelor,Employed,Suburban,70,1,Personal,Other,Four-Door Car
KS,856.4768226,Basic,High School or Below,Employed,Rural,107,9,Personal,Hail,Sports Car
NE,488.5162511,Extended,High School or Below,Medical Leave,Suburban,126,1,Personal,Other,SUV
NE,975.3307106,Extended,Bachelor,Medical Leave,Rural,127,3,Personal,Collision,SUV
MO,294.6153697,Basic,Bachelor,Employed,Urban,74,1,Personal,Hail,Four-Door Car
MO,258.1110945,Basic,High School or Below,Employed,Suburban,65,1,Personal,Hail,Four-Door Car
IA,351.7385764,Extended,College,Employed,Rural,92,1,Personal,Scratch/Dent,Four-Door Car
IA,974.3350113,Extended,Bachelor,Employed,Suburban,82,2,Personal,Hail,Four-Door Car
NE,387.3647046,Basic,College,Retired,Suburban,105,1,Personal,Hail,Sports Car
NE,764.9281990000002,Basic,Bachelor,Employed,Rural,64,2,Personal,Collision,Two-Door Car
MO,228.759692,Basic,High School or Below,Unemployed,Suburban,63,1,Corporate,Hail,Two-Door Car
KS,447.5424592,Basic,College,Employed,Urban,111,1,Personal,Collision,SUV
MO,871.4922134999998,Basic,College,Unemployed,Suburban,118,4,Personal,Collision,SUV
KS,224.8449633,Basic,Bachelor,Retired,Suburban,63,1,Personal,Collision,Four-Door Car
MO,741.6197322,Extended,Bachelor,Unemployed,Suburban,77,2,Personal,Collision,Four-Door Car
IA,777.1158972999998,Basic,Master,Medical Leave,Suburban,68,2,Personal,Collision,Four-Door Car
MO,696.83419,Basic,Bachelor,Unemployed,Suburban,69,2,Personal,Collision,Four-Door Car
MO,425.0282624,Basic,High School or Below,Unemployed,Suburban,61,7,Personal,Collision,Four-Door Car
IA,1977.656654,Extended,High School or Below,Employed,Urban,82,2,Personal,Scratch/Dent,Four-Door Car
MO,2134.346599,Basic,High School or Below,Unemployed,Suburban,74,2,Personal,Collision,Four-Door Car
MO,241.3139714,Basic,College,Medical Leave,Suburban,63,1,Personal,Other,Four-Door Car
IA,1536.384716,Premium,Doctor,Medical Leave,Urban,101,2,Personal,Hail,Four-Door Car
OK,845.6961887,Basic,College,Employed,Rural,73,2,Personal,Scratch/Dent,Four-Door Car
OK,218.9642522,Basic,College,Unemployed,Suburban,61,1,Personal,Scratch/Dent,Four-Door Car
MO,463.9981638,Basic,Bachelor,Employed,Rural,117,1,Personal,Hail,Sports Car
KS,446.5335703,Basic,College,Employed,Rural,112,1,Personal,Hail,SUV
NE,596.8118877,Basic,Bachelor,Employed,Urban,74,8,Personal,Hail,Two-Door Car
KS,509.7763337,Basic,College,Unemployed,Suburban,74,7,Personal,Scratch/Dent,Two-Door Car
MO,407.6634665,Basic,Bachelor,Employed,Suburban,104,1,Personal,Hail,Sports Car
MO,1225.260179,Premium,Bachelor,Unemployed,Suburban,115,2,Personal,Collision,Four-Door Car
OK,1693.627147,Extended,Bachelor,Employed,Suburban,217,4,Personal,Scratch/Dent,Sports Car
IA,489.2435461,Basic,High School or Below,Employed,Suburban,62,3,Personal,Hail,Four-Door Car
OK,994.2304791,Extended,Bachelor,Employed,Suburban,85,2,Personal,Other,Four-Door Car
MO,373.5838129,Basic,Bachelor,Unemployed,Suburban,110,1,Personal,Collision,SUV
MO,1311.752215,Basic,High School or Below,Employed,Suburban,111,2,Personal,Scratch/Dent,SUV
MO,457.4524094,Basic,College,Employed,Suburban,114,1,Corporate,Hail,SUV
NE,547.0060561,Extended,Bachelor,Employed,Suburban,138,1,Personal,Hail,SUV
MO,297.884601,Extended,Bachelor,Employed,Urban,76,1,Personal,Scratch/Dent,Four-Door Car
IA,641.0967544,Extended,College,Employed,Urban,82,7,Personal,Scratch/Dent,Four-Door Car
MO,447.90230880000007,Basic,Master,Employed,Urban,111,1,Special,Other,SUV
MO,238.3731879,Basic,High School or Below,Unemployed,Suburban,69,1,Special,Other,Two-Door Car
MO,276.4493659,Basic,Bachelor,Employed,Suburban,70,1,Personal,Hail,Two-Door Car
IA,792.0105377,Basic,Bachelor,Employed,Suburban,67,2,Personal,Other,Two-Door Car
NE,688.9097981000001,Basic,High School or Below,Unemployed,Suburban,63,2,Personal,Collision,Four-Door Car
KS,327.4194616000001,Extended,Bachelor,Employed,Suburban,81,1,Personal,Collision,Four-Door Car
IA,995.1707742999997,Premium,High School or Below,Employed,Suburban,255,1,Corporate,Other,SUV
IA,252.1555686,Basic,Bachelor,Employed,Rural,67,1,Special,Collision,Four-Door Car
KS,2370.6113370000007,Extended,High School or Below,Unemployed,Suburban,96,2,Personal,Scratch/Dent,Two-Door Car
MO,1114.030248,Premium,Master,Medical Leave,Suburban,150,3,Personal,Collision,SUV
OK,433.4064096,Extended,Bachelor,Retired,Suburban,123,1,Personal,Collision,SUV
NE,279.97479100000004,Basic,High School or Below,Employed,Suburban,69,1,Corporate,Hail,Four-Door Car
MO,792.3136624,Basic,College,Unemployed,Suburban,113,7,Personal,Collision,SUV
MO,368.81108880000005,Basic,High School or Below,Unemployed,Suburban,63,7,Personal,Collision,Four-Door Car
MO,1206.745599,Basic,College,Unemployed,Suburban,116,2,Personal,Collision,SUV
MO,292.4976721000001,Basic,College,Employed,Urban,72,1,Personal,Hail,Four-Door Car
MO,1501.40927,Premium,College,Employed,Suburban,190,3,Corporate,Collision,SUV
IA,927.7233839,Basic,High School or Below,Employed,Suburban,116,3,Corporate,Hail,SUV
KS,627.4123875,Extended,Bachelor,Employed,Rural,78,3,Personal,Scratch/Dent,Four-Door Car
MO,388.6647414,Extended,High School or Below,Employed,Suburban,98,1,Personal,Hail,Two-Door Car
MO,438.6277558000001,Basic,College,Retired,Suburban,67,5,Special,Collision,Four-Door Car
KS,1136.526766,Extended,College,Employed,Urban,95,2,Corporate,Hail,Two-Door Car
MO,561.0964339999998,Basic,High School or Below,Employed,Urban,70,3,Special,Collision,Four-Door Car
NE,291.2892035000001,Basic,College,Employed,Suburban,74,1,Personal,Other,Four-Door Car
IA,691.5729915000002,Extended,College,Employed,Suburban,85,3,Corporate,Other,Four-Door Car
IA,626.2663307,Premium,College,Employed,Urban,159,1,Corporate,Other,Sports Car
IA,650.3397049,Extended,High School or Below,Medical Leave,Suburban,84,6,Special,Collision,Two-Door Car
KS,800.7399376,Basic,High School or Below,Unemployed,Suburban,112,3,Personal,Collision,Sports Car
MO,292.9916512000001,Basic,College,Employed,Suburban,72,1,Personal,Hail,Four-Door Car
IA,596.955297,Basic,Bachelor,Employed,Suburban,74,3,Personal,Scratch/Dent,Four-Door Car
MO,547.3159870000002,Basic,Bachelor,Employed,Suburban,69,8,Personal,Collision,Four-Door Car
OK,564.5396665,Basic,High School or Below,Employed,Suburban,72,9,Personal,Collision,Four-Door Car
KS,636.9262355000002,Extended,High School or Below,Employed,Suburban,83,7,Personal,Hail,Two-Door Car
IA,1183.376732,Basic,College,Medical Leave,Suburban,103,2,Personal,Hail,SUV
IA,612.1107929,Extended,College,Employed,Suburban,77,5,Personal,Scratch/Dent,Four-Door Car
OK,515.9369746,Basic,College,Unemployed,Suburban,74,9,Personal,Collision,Two-Door Car
OK,251.459196,Basic,High School or Below,Employed,Rural,65,1,Corporate,Hail,Four-Door Car
NE,866.8611261,Basic,High School or Below,Employed,Urban,114,9,Corporate,Collision,SUV
MO,496.0965384,Basic,Bachelor,Medical Leave,Suburban,66,9,Corporate,Collision,Four-Door Car
NE,550.4139033,Basic,Bachelor,Unemployed,Suburban,73,5,Corporate,Collision,Four-Door Car
NE,750.7455372000002,Basic,College,Employed,Urban,64,2,Personal,Hail,Two-Door Car
NE,3226.985139,Extended,High School or Below,Employed,Urban,90,2,Personal,Collision,Four-Door Car
IA,565.7031588,Premium,Bachelor,Unemployed,Suburban,152,1,Personal,Collision,SUV
NE,506.1757902,Basic,High School or Below,Unemployed,Suburban,68,8,Personal,Scratch/Dent,Two-Door Car
MO,591.2783829,Basic,Bachelor,Employed,Suburban,73,8,Personal,Collision,Two-Door Car
MO,1518.227975,Basic,Bachelor,Employed,Rural,63,2,Personal,Collision,Four-Door Car
KS,1074.703094,Extended,College,Employed,Urban,136,3,Corporate,Hail,SUV
KS,205.0623512,Basic,College,Unemployed,Suburban,61,1,Personal,Hail,Four-Door Car
KS,246.54448650000003,Basic,Bachelor,Employed,Suburban,63,1,Personal,Hail,Four-Door Car
OK,534.3121327,Basic,High School or Below,Employed,Suburban,66,3,Corporate,Hail,Two-Door Car
NE,811.9829071,Basic,College,Employed,Rural,67,2,Personal,Scratch/Dent,Four-Door Car
IA,460.5265164,Basic,College,Unemployed,Suburban,64,4,Corporate,Collision,Four-Door Car
MO,640.8785577000001,Extended,College,Employed,Suburban,84,5,Personal,Hail,Two-Door Car
MO,237.6533508,Extended,College,Unemployed,Suburban,91,1,Personal,Collision,Two-Door Car
MO,321.1070017,Extended,Bachelor,Medical Leave,Suburban,86,1,Corporate,Scratch/Dent,Two-Door Car
NE,509.4522262,Basic,Bachelor,Employed,Suburban,64,3,Personal,Other,Four-Door Car
NE,2575.527817,Extended,High School or Below,Unemployed,Suburban,81,2,Personal,Other,Four-Door Car
IA,867.2229719000002,Extended,Bachelor,Unemployed,Suburban,245,1,Corporate,Collision,SUV
MO,804.473072,Basic,Master,Employed,Suburban,67,2,Personal,Collision,Four-Door Car
NE,400.1519098,Premium,High School or Below,Retired,Suburban,108,1,Personal,Scratch/Dent,Two-Door Car
OK,1670.611699,Basic,Bachelor,Employed,Suburban,70,2,Personal,Collision,Two-Door Car
NE,854.4411077,Basic,Doctor,Employed,Suburban,109,8,Personal,Collision,SUV
KS,780.531287,Basic,College,Retired,Suburban,106,3,Personal,Collision,SUV
IA,611.2756868,Extended,Bachelor,Employed,Urban,77,3,Personal,Other,Four-Door Car
OK,477.2943848000001,Extended,High School or Below,Retired,Suburban,133,1,Personal,Hail,SUV
IA,1097.909559,Extended,Bachelor,Employed,Urban,135,4,Personal,Collision,SUV
MO,500.4263818,Basic,Master,Employed,Urban,63,4,Personal,Hail,Two-Door Car
KS,1322.304379,Extended,Bachelor,Employed,Suburban,84,2,Personal,Scratch/Dent,Four-Door Car
IA,262.331543,Basic,Bachelor,Employed,Rural,65,1,Corporate,Collision,Four-Door Car
MO,1784.019555,Basic,Bachelor,Unemployed,Suburban,62,2,Personal,Collision,Four-Door Car
MO,510.6111827,Basic,College,Employed,Rural,64,5,Personal,Collision,Four-Door Car
NE,1793.060451,Basic,College,Medical Leave,Suburban,68,2,Personal,Collision,Four-Door Car
NE,545.7342569,Basic,High School or Below,Employed,Suburban,67,4,Personal,Hail,Four-Door Car
MO,656.3644142999998,Extended,Bachelor,Employed,Suburban,83,6,Personal,Collision,Four-Door Car
IA,481.2525221,Basic,College,Medical Leave,Rural,63,4,Corporate,Collision,Four-Door Car
NE,2932.804185,Extended,Master,Employed,Rural,94,2,Corporate,Hail,Four-Door Car
NE,577.3520711,Basic,Bachelor,Employed,Suburban,72,8,Personal,Collision,Two-Door Car
MO,684.71189,Extended,College,Employed,Rural,86,3,Corporate,Other,Four-Door Car
NE,359.531286,Basic,High School or Below,Unemployed,Suburban,103,1,Corporate,Hail,Sports Car
OK,2285.561209,Basic,Master,Medical Leave,Rural,65,2,Personal,Collision,Two-Door Car
KS,785.9414569,Basic,High School or Below,Unemployed,Suburban,113,7,Personal,Collision,SUV
IA,411.5577437,Premium,High School or Below,Employed,Suburban,103,1,Personal,Other,Four-Door Car
NE,502.9638777,Extended,High School or Below,Unemployed,Suburban,133,1,Personal,Collision,Sports Car
KS,482.1418454,Extended,Bachelor,Employed,Suburban,128,1,Personal,Hail,SUV
IA,500.4310469,Basic,Master,Medical Leave,Rural,65,3,Special,Collision,Two-Door Car
NE,863.0053943,Premium,College,Employed,Suburban,111,5,Corporate,Collision,Four-Door Car
NE,932.208512,Premium,High School or Below,Employed,Rural,116,4,Personal,Scratch/Dent,Four-Door Car
MO,1672.756063,Extended,College,Unemployed,Suburban,76,2,Personal,Scratch/Dent,Two-Door Car
IA,365.2532435,Extended,High School or Below,Employed,Suburban,92,1,Personal,Hail,Two-Door Car
OK,615.8601171,Extended,College,Unemployed,Urban,89,5,Personal,Collision,Four-Door Car
MO,437.6083958,Basic,Bachelor,Unemployed,Suburban,69,3,Personal,Other,Two-Door Car
OK,556.9456156,Basic,High School or Below,Employed,Suburban,71,6,Personal,Collision,Four-Door Car
KS,257.6513006,Basic,Bachelor,Employed,Suburban,66,1,Personal,Collision,Two-Door Car
KS,834.6983232999999,Premium,Bachelor,Employed,Rural,108,3,Personal,Collision,Two-Door Car
NE,632.3923864,Extended,High School or Below,Employed,Suburban,78,3,Personal,Hail,Four-Door Car
NE,597.314343,Basic,Bachelor,Employed,Suburban,73,3,Corporate,Collision,Four-Door Car
MO,470.6676993,Basic,Bachelor,Unemployed,Suburban,72,7,Personal,Collision,Four-Door Car
MO,809.3410257999999,Basic,High School or Below,Unemployed,Suburban,114,5,Personal,Collision,Sports Car
KS,503.5744643,Basic,College,Employed,Urban,63,5,Personal,Hail,Four-Door Car
IA,902.7867218,Premium,Bachelor,Employed,Suburban,112,8,Personal,Scratch/Dent,Four-Door Car
MO,728.8884849,Extended,High School or Below,Employed,Urban,91,3,Personal,Other,Four-Door Car
IA,1804.247942,Extended,Master,Employed,Rural,225,8,Personal,Collision,Sports Car
NE,499.20630430000006,Basic,Bachelor,Unemployed,Suburban,71,3,Corporate,Scratch/Dent,Four-Door Car
